9
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 36 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 37 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 38 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 39 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 40 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 41 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 42 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 43 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 44 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 45 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 46 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 47 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 48 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 49 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 50 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 51 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 52 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 53 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 54 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 55 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 56 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 57 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 58 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 59 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 60 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 61 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 62 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 63 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 64 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 65 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 66 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 67 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 68 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 69 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 70 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 71 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 72 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 73 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 74 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 75 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 76 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 77 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 78 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 79 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 80 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 81 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 82 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 83 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 84 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 85 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 86 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 87 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 88 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 89 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 90 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 91 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 92 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 93 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 94 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 95 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 96 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 97 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 98 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 99 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 100 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 1 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 2 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 3 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 4 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 5 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 6 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 7 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 8 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 9 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 10 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 11 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 12 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 13 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 14 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 15 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 16 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 17 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 18 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 19 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 20 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 21 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 22 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 23 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 24 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 25 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 26 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 27 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 28 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 29 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 30 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 31 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 32 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 33 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 34 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 35 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 36 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 37 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 38 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 39 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 40 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 41 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 42 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 43 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 44 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 45 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 46 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 47 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 48 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 49 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 50 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 51 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 52 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 53 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 54 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 55 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 56 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 57 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 58 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 59 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 60 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 61 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 62 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 63 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 64 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 65 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 66 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 67 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 68 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 69 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 70 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 71 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 72 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 73 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 74 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 75 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 76 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 77 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 78 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 79 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 80 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 81 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 82 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 83 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 84 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 85 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 86 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 87 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 88 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 89 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 90 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 91 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 92 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 93 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 94 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 95 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 96 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 97 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 98 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 99 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 100 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 1 => 2.51315789474
# of feats=6 Fitness=2.51315789474 [1, 1, 1, 1, 0, 1, 0, 0, 1]
Gen 2 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 3 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 4 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 5 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 6 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 7 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 8 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 9 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 10 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 11 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 12 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 13 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 14 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 15 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 16 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 17 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 18 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 19 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 20 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 21 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 22 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 23 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 24 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 25 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 26 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 27 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 28 => 2.3048245614
# of feats=8 Fitness=2.3048245614 [1, 1, 1, 1, 1, 1, 1, 0, 1]
Gen 29 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 30 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 31 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 32 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 33 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 34 => 2.3048245614
# of feats=5 Fitness=2.3048245614 [1, 0, 0, 1, 0, 1, 1, 0, 1]
Gen 35 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 36 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 37 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 38 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 39 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 40 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 41 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 42 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 43 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 44 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 45 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 46 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 47 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 48 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 49 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 50 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 51 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 52 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 53 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 54 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 55 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 56 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 57 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 58 => 2.3048245614
# of feats=6 Fitness=2.3048245614 [1, 1, 0, 1, 1, 1, 0, 1, 0]
Gen 59 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
Gen 60 => 2.3048245614
# of feats=7 Fitness=2.3048245614 [1, 1, 1, 0, 0, 1, 1, 1, 1]
